Longitud,Latitud,Grupo
-115.0027745,32.20200632,2.1
-115.0028211,32.20209305,2.1
-115.0020975,32.20167868,2.1
-115.0007312,32.20056006,2.1
-114.9935373,32.19484872,2.1
-114.9925571,32.19408832,2.1
-114.9918813,32.19356363,2.1
-114.9922478,32.19317343,2.1
-114.9917871,32.19278895,2.1
-114.9921654,32.19246298,2.1
-114.9925171,32.19214675,2.1
-114.9753183,32.17799548,2.1
-114.9897363,32.14637765,2.1
-114.957005,32.03863618,2.1
-114.9674345,31.99688029,2.1
-114.9654846,31.91842388,2.1
-114.9471267,31.91177217,2.1
-114.9432212,31.90660055,2.1
-114.9391511,31.89212358,2.1
-114.9147587,31.88221026,2.1
-114.9067437,31.86730417,2.1
-114.8989635,31.87120542,2.1
-114.8870315,31.87159135,2.1
-114.8750851,31.86561906,2.1
-114.8674493,31.8645202,2.1
-114.8535717,31.86638351,2.1
-114.8431857,31.86355382,2.1
-114.825692,31.82881958,2.1
-114.8188574,31.82090589,2.1
-114.8068777,31.81668014,2.1
-114.808377,31.79266752,2.1
-114.817173,31.76338678,2.1
-114.8183724,31.74553968,2.1
-114.8169536,31.72874349,2.1
-114.8121774,31.71618486,2.1
-114.8042892,31.70063754,2.1
-114.7956272,31.69006452,2.1
-114.7890816,31.67220109,2.1
-114.7836835,31.63552717,2.1
-114.7861033,31.62480285,2.1
-114.790403,31.61670491,2.1
-114.8007243,31.60908848,2.1
-114.8116778,31.61179512,2.1
-114.8164572,31.60963598,2.1
-114.816499,31.60312932,2.1
-114.8222338,31.58437372,2.1
-114.8327525,31.57853009,2.1
-114.8347215,31.56737963,2.1
-114.8422656,31.55281672,2.1
-114.8579541,31.50113786,2.1
-114.8579607,31.48354168,2.1
-114.8550265,31.47940766,2.1
-114.8552162,31.45202557,2.1
-114.8593453,31.42916708,2.1
-114.8697705,31.42285777,2.1
-114.8723549,31.39927794,2.1
-114.8801623,31.39289037,2.1
-114.8787364,31.38629931,2.1
-114.8782709,31.36345502,2.1
-114.8811827,31.34871774,2.1
-114.8796407,31.33563565,2.1
-114.8821686,31.30192971,2.1
-114.879282,31.29526197,2.1
-114.8882104,31.28452745,2.1
-114.8868544,31.27737118,2.1
-114.8912854,31.26364905,2.1
-114.8850423,31.25933162,2.1
-114.8818195,31.25083877,2.1
-114.8812864,31.23394209,2.1
-114.8855472,31.21397231,2.1
-114.8837094,31.20938868,2.1
-114.890474,31.16814238,2.1
-114.8905742,31.15028989,2.1
-114.8880442,31.142386,2.1
-114.8854299,31.1221986,2.1
-114.8746367,31.10011129,2.1
-114.8674949,31.09022931,2.1
-114.8481178,31.07266586,2.1
-114.8321644,31.06643966,2.1
-114.8225449,31.05367469,2.1
-114.8142928,31.05210462,2.1
-114.8119317,31.04554134,2.1
-114.8240589,31.03976394,2.1
-114.8315436,31.02542138,2.1
-114.8347819,31.00987042,2.1
-114.8328479,30.99920305,2.1
-114.8217141,30.98619674,2.1
-114.7987563,30.97226802,2.1
-114.7810111,30.96394009,2.1
-114.7545537,30.95404945,2.1
-114.734619,30.94485163,2.1
-114.7192176,30.93504917,2.1
-114.717934,30.92547072,2.1
-114.7146705,30.92090474,2.1
-114.7099492,30.90570548,2.1
-114.7110202,30.89152603,2.1
-114.7051242,30.87814863,2.1
-114.7039431,30.86307374,2.1
-114.7094023,30.84966832,2.1
-114.7085583,30.84049743,2.1
